aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
prepared meals,deli,breakfast bakery,bakery,9390,0.2920798762253202,1.5579823152982786
marinades meat preparation,pantry,frozen produce,frozen,11197,0.3482873667832705,1.5578079563613956
frozen meat seafood,frozen,breakfast bakery,bakery,7310,0.227380606518327,1.5573350740825325
packaged poultry,meat,pickled goods olives,pantry,5687,0.1768965128959953,1.5565727481814668
protein meal replacements,personal care,hot cereal pancake mixes,breakfast,2298,0.07148025085897612,1.556290190640108
fruit vegetable snacks,snacks,hot dogs bacon sausage,meat,19407,0.6036628496171234,1.5561383950510372
spices seasonings,pantry,frozen produce,frozen,32049,0.9968975455958772,1.5553491814391196
poultry counter,meat,salad dressing toppings,pantry,5222,0.16243249346630692,1.554882893453506
paper goods,household,cereal,breakfast,29008,0.9023059690675281,1.5548437230256535
doughs gelatins bake mixes,pantry,pickled goods olives,pantry,4431,0.13782810772677248,1.5547258702338524
frozen breads doughs,frozen,chips pretzels,snacks,10193,0.317057526982395,1.5545709717112748
frozen meals,frozen,fruit vegetable snacks,snacks,17051,0.5303784845067023,1.554503117021432
diapers wipes,babies,hot cereal pancake mixes,breakfast,1551,0.04824450351708963,1.5539272060737854
deodorants,personal care,tortillas flat bread,bakery,1215,0.037793083025959955,1.5538075832000828
crackers,snacks,other creams cheeses,dairy eggs,49528,1.5405891490615184,1.5529612305519522
baby accessories,babies,soy lactosefree,dairy eggs,2129,0.06622343519528293,1.552639652992169
bread,bakery,frozen juice,frozen,1079,0.03356274616050271,1.5524051503049767
fruit vegetable snacks,snacks,yogurt,dairy eggs,60646,1.8864191878126484,1.5515065974256612
fresh pasta,dry goods pasta,eggs,dairy eggs,7255,0.22566980852126708,1.5514732585011144
prepared soups salads,deli,frozen pizza,frozen,4216,0.13114044282917464,1.551175620184263
spreads,pantry,soy lactosefree,dairy eggs,65837,2.047887413316976,1.5506862880878403
cream,dairy eggs,doughs gelatins bake mixes,pantry,12730,0.3959719727740496,1.5505112611127796
packaged seafood,seafood,butter,dairy eggs,2383,0.0741242113998869,1.5504371549205767
popcorn jerky,snacks,breakfast bakery,bakery,15565,0.4841558331679562,1.550358118032037
juice nectars,beverages,air fresheners candles,household,2283,0.07101366958705069,1.5499248058255564
baking ingredients,pantry,canned fruit applesauce,canned goods,9253,0.28781843394173456,1.5495061911092347
canned jarred vegetables,canned goods,hot dogs bacon sausage,meat,30814,0.95848235420735,1.5494144690619152
protein meal replacements,personal care,nuts seeds dried fruit,snacks,4083,0.12700342221810249,1.549411496206496
honeys syrups nectars,pantry,laundry,household,2495,0.07760801823026345,1.5493495570456417
asian foods,international,frozen appetizers sides,frozen,11092,0.34502129787979247,1.549081355701164
packaged poultry,meat,cocoa drink mixes,beverages,1009,0.031385366891517365,1.5490446688916764
baby food formula,babies,cereal,breakfast,21257,0.6612078731545933,1.5490377901310097
tea,beverages,juice nectars,beverages,25229,0.7847585939604477,1.5484806656195211
breakfast bars pastries,breakfast,hot dogs bacon sausage,meat,7709,0.23979166835154347,1.548145161121244
buns rolls,bakery,canned meat seafood,canned goods,3082,0.09586689867161201,1.5481345681269303
honeys syrups nectars,pantry,cream,dairy eggs,9184,0.2856721600908776,1.5471886401120774
soy lactosefree,dairy eggs,skin care,personal care,2412,0.0750262685256094,1.5470238305348685
soap,personal care,spreads,pantry,6598,0.20523354881093317,1.5469223818297277
diapers wipes,babies,breakfast bakery,bakery,2347,0.07300441634726587,1.5468241534659648
pickled goods olives,pantry,spirits,alcohol,1129,0.03511801706692082,1.5463849483613716
seafood counter,seafood,packaged vegetables fruits,produce,16647,0.5178118955828439,1.54622868738801
oils vinegars,pantry,laundry,household,8378,0.26060119307941776,1.5461725360141967
refrigerated,beverages,skin care,personal care,1897,0.059006978189502915,1.5458909222517077
packaged seafood,seafood,dry pasta,dry goods pasta,2246,0.0698627691163013,1.5455259806769632
kosher foods,international,juice nectars,beverages,1468,0.04566275381243557,1.5453525330417874
specialty cheeses,dairy eggs,buns rolls,bakery,3875,0.12053349524740317,1.5453517782563302
crackers,snacks,bread,bakery,93388,2.9048727881714806,1.5452896315083866
buns rolls,bakery,laundry,household,4018,0.12498157003975893,1.5449629030902718
frozen pizza,frozen,other creams cheeses,dairy eggs,18507,0.5756679733015975,1.5449096176870791
baking supplies decor,pantry,dry pasta,dry goods pasta,2260,0.07029824497009836,1.5448710867615685
soft drinks,beverages,specialty wines champagnes,alcohol,1321,0.04109025734756634,1.5446821984380934
asian foods,international,canned fruit applesauce,canned goods,5176,0.16100164423240226,1.5445179243770666
grains rice dried goods,dry goods pasta,dish detergents,household,5538,0.17226180559486937,1.544453958413654
poultry counter,meat,asian foods,international,8266,0.2571173862490412,1.5443527576673741
packaged cheese,dairy eggs,meat counter,meat,24474,0.7612740032735342,1.5441051116520372
soup broth bouillon,canned goods,hot cereal pancake mixes,breakfast,18685,0.5812047377284459,1.5440351797556573
coffee,beverages,muscles joints pain relief,personal care,1532,0.04765350057265075,1.5440114656039226
packaged seafood,seafood,condiments,pantry,1896,0.05897587277137455,1.543894424181085
refrigerated pudding desserts,dairy eggs,yogurt,dairy eggs,12989,0.4040282760692954,1.5436463559648408
refrigerated,beverages,protein meal replacements,personal care,6736,0.20952609651264717,1.5431815942413571
cookies cakes,snacks,feminine care,personal care,1517,0.047186919300725313,1.5431657418954616
vitamins supplements,personal care,asian foods,international,2660,0.08274041222144321,1.5430226293300606
asian foods,international,nuts seeds dried fruit,snacks,17232,0.5360085651879358,1.542852080039126
buns rolls,bakery,fruit vegetable snacks,snacks,7437,0.231330994620629,1.54283686756057
hot dogs bacon sausage,meat,chips pretzels,snacks,69785,2.1706916040877497,1.5428197718573642
bulk dried fruits vegetables,bulk,tea,beverages,1505,0.04681365428318497,1.5427884549094564
frozen breads doughs,frozen,canned meals beans,canned goods,4209,0.13092270490227612,1.5427392454277267
honeys syrups nectars,pantry,breakfast bars pastries,breakfast,1838,0.05717175851992955,1.5422766884566108
fruit vegetable snacks,snacks,tea,beverages,12944,0.40262853225351913,1.5421921022092195
frozen meals,frozen,body lotions soap,personal care,4051,0.12600804883799488,1.5421292565744795
pasta sauce,dry goods pasta,spreads,pantry,23902,0.7434817041041111,1.541671045591623
butter,dairy eggs,grains rice dried goods,dry goods pasta,15084,0.469194127048214,1.5413350940876283
cookies cakes,snacks,cleaning products,household,8049,0.2503675105151866,1.5411061364750496
honeys syrups nectars,pantry,canned meat seafood,canned goods,1899,0.059069189025759646,1.5405357367730057
fresh herbs,produce,indian foods,international,1904,0.05922471611640145,1.540363350316607
preserved dips spreads,pantry,grains rice dried goods,dry goods pasta,6409,0.19935462478467275,1.5403571361565431
tofu meat alternatives,deli,granola,breakfast,4583,0.14255613128228353,1.5402520250219531
instant foods,dry goods pasta,baking supplies decor,pantry,1642,0.051075096566770575,1.5399030475824447
frozen breads doughs,frozen,other creams cheeses,dairy eggs,5220,0.1623702826300502,1.5398463218230367
spreads,pantry,ice cream toppings,snacks,1214,0.0377619776078316,1.5393176508090767
bakery desserts,bakery,fruit vegetable snacks,snacks,2338,0.07272446758411061,1.539266646114101
baking ingredients,pantry,frozen breads doughs,frozen,4628,0.14395587509805982,1.5390888380867733
frozen breakfast,frozen,dish detergents,household,8335,0.25926366009989815,1.5389442666007052
frozen breads doughs,frozen,frozen produce,frozen,7420,0.23080220251244682,1.5385919057124422
protein meal replacements,personal care,juice nectars,beverages,4502,0.1400365924138862,1.5383032439619595
frozen pizza,frozen,feminine care,personal care,1103,0.0343092761955834,1.53797723379626
grains rice dried goods,dry goods pasta,soy lactosefree,dairy eggs,34191,1.0635253512268288,1.5378206124461022
hair care,personal care,frozen breakfast,frozen,2402,0.07471521434432578,1.5374420560148383
spreads,pantry,doughs gelatins bake mixes,pantry,10697,0.33273465771908944,1.5368542872408772
buns rolls,bakery,baking supplies decor,pantry,1034,0.03216300234472642,1.5367108577085138
condiments,pantry,meat counter,meat,6335,0.19705282384317396,1.536689626457457
granola,breakfast,bread,bakery,22718,0.7066528890401303,1.5360515457134924
tofu meat alternatives,deli,packaged seafood,seafood,1042,0.03241184568975331,1.5355557842915273
breakfast bakery,bakery,plates bowls cups flatware,household,3776,0.11745405885269533,1.5355329640845203
frozen meals,frozen,crackers,snacks,41843,1.3015440107450558,1.5354082755916143
prepared soups salads,deli,frozen vegan vegetarian,frozen,2361,0.07343989220106294,1.535183949428035
canned jarred vegetables,canned goods,frozen dessert,frozen,2120,0.06594348643212766,1.534973382481664
packaged poultry,meat,body lotions soap,personal care,1945,0.0605000382596643,1.534612068703084
prepared soups salads,deli,breakfast bakery,bakery,6654,0.2069754522261215,1.5345303024411716
dish detergents,household,tea,beverages,7641,0.23767649991881484,1.5345136826236552
bulk grains rice dried goods,bulk,condiments,pantry,1541,0.047933449335806004,1.5344745152375006
packaged cheese,dairy eggs,fruit vegetable snacks,snacks,52244,1.62507146469815,1.5343198535962286
candy chocolate,snacks,plates bowls cups flatware,household,3819,0.1187915918322149,1.5343187259353868
specialty cheeses,dairy eggs,salad dressing toppings,pantry,3200,0.09953733801075874,1.5342460283869497
packaged cheese,dairy eggs,frozen vegan vegetarian,frozen,27586,0.8580740644889971,1.5342242067460061
marinades meat preparation,pantry,breakfast bakery,bakery,6154,0.19142274316194038,1.5340668157254935
salad dressing toppings,pantry,cleaning products,household,3668,0.11409467369483221,1.5338170240182665
specialty cheeses,dairy eggs,poultry counter,meat,4575,0.14230728793725664,1.5337782944488008
lunch meat,deli,cereal,breakfast,47388,1.4740235542668236,1.5335023164229835
hair care,personal care,buns rolls,bakery,1265,0.039348353932378066,1.5334577446390356
food storage,household,hot dogs bacon sausage,meat,7217,0.22448780263238932,1.5333696798625818
popcorn jerky,snacks,preserved dips spreads,pantry,7117,0.22137726081955308,1.533171540254891
poultry counter,meat,pickled goods olives,pantry,6069,0.18877878262102962,1.53313071763673
butter,dairy eggs,canned meat seafood,canned goods,7018,0.21829782442484524,1.5330813108237875
packaged poultry,meat,frozen pizza,frozen,7569,0.23543690981357276,1.5325592276343132
cocoa drink mixes,beverages,other creams cheeses,dairy eggs,2421,0.07530621728876466,1.5323425259500216
paper goods,household,salad dressing toppings,pantry,8352,0.25979245220808034,1.5317919374531184
packaged meat,meat,condiments,pantry,3054,0.09499594696401788,1.5317794755415586
poultry counter,meat,buns rolls,bakery,6184,0.19235590570579128,1.5315843463350378
refrigerated pudding desserts,dairy eggs,pickled goods olives,pantry,1558,0.04846224144398816,1.531443291909192
packaged cheese,dairy eggs,frozen meat seafood,frozen,24012,0.7469033000982309,1.5312101463209427
frozen breakfast,frozen,body lotions soap,personal care,3347,0.10410983447562798,1.5308731132130995
bakery desserts,bakery,chips pretzels,snacks,8433,0.2623119910764777,1.5307869563022203
chips pretzels,snacks,plates bowls cups flatware,household,9170,0.28523668423708054,1.5307735219568013
butter,dairy eggs,food storage,household,6402,0.19913688685777423,1.530431873862656
specialty cheeses,dairy eggs,bread,bakery,19364,0.6023253166376038,1.53034022127422
fresh herbs,produce,packaged vegetables fruits,produce,168599,5.244342391023723,1.530268943923497
prepared meals,deli,preserved dips spreads,pantry,4264,0.13263350289933604,1.530118295296108
baking supplies decor,pantry,hot cereal pancake mixes,breakfast,1432,0.04454295875981454,1.530104659952941
soy lactosefree,dairy eggs,cereal,breakfast,77213,2.4017426499452235,1.5299743603106666
spreads,pantry,dry pasta,dry goods pasta,27024,0.8405928195008575,1.5294195849593204
protein meal replacements,personal care,laundry,household,1244,0.03869514015168246,1.5293502638570455
frozen meals,frozen,lunch meat,deli,37782,1.175224907725777,1.5292252911120916
eggs,dairy eggs,canned fruit applesauce,canned goods,16298,0.5069561046560456,1.5291508731822598
indian foods,international,soy lactosefree,dairy eggs,3434,0.10681600585279546,1.5291120385666508
energy sports drinks,beverages,crackers,snacks,13605,0.4231892136363664,1.528874452576866
cat food care,pets,buns rolls,bakery,1723,0.05359463543516791,1.528677221487982
vitamins supplements,personal care,soy lactosefree,dairy eggs,10385,0.3230297672630405,1.528644767556128
soft drinks,beverages,chips pretzels,snacks,71156,2.213337132341734,1.5286225924775365
baby food formula,babies,lunch meat,deli,23576,0.733341337794265,1.528595344917244
spreads,pantry,frozen dessert,frozen,2232,0.06942729326250421,1.528523306140106
ice cream ice,frozen,chips pretzels,snacks,90200,2.805708715178262,1.5277667748656263
canned meat seafood,canned goods,frozen produce,frozen,11520,0.35833441683873146,1.5274587478905148
honeys syrups nectars,pantry,salad dressing toppings,pantry,2670,0.08305146640272683,1.527309238298781
bakery desserts,bakery,frozen vegan vegetarian,frozen,1225,0.03810413720724359,1.527305992191028
eggs,dairy eggs,other creams cheeses,dairy eggs,58197,1.8102420188162895,1.527149237938206
honeys syrups nectars,pantry,juice nectars,beverages,8846,0.2751585287634912,1.52677725197718
butter,dairy eggs,frozen breakfast,frozen,22565,0.701893760066491,1.5265504235033827
prepared soups salads,deli,frozen appetizers sides,frozen,4982,0.15496719311550003,1.5265464117879983
oils vinegars,pantry,cleaning products,household,9143,0.2843968379476147,1.5263461721980363
ice cream ice,frozen,deodorants,personal care,2329,0.07244451882095534,1.526307495415648
frozen produce,frozen,frozen dessert,frozen,3525,0.10964659890247642,1.525698438287582
marinades meat preparation,pantry,paper goods,household,5589,0.1738481819194158,1.5253507747905553
breakfast bars pastries,breakfast,dish detergents,household,2473,0.07692369903143949,1.5250616072973688
frozen breakfast,frozen,eggs,dairy eggs,41324,1.2854002987364357,1.5247527479094722
cream,dairy eggs,milk,dairy eggs,109941,3.4197607744502583,1.524190157874963
popcorn jerky,snacks,cocoa drink mixes,beverages,1265,0.039348353932378066,1.5241760636984178
cookies cakes,snacks,tea,beverages,16363,0.5089779568343892,1.5240599411509457
packaged cheese,dairy eggs,packaged poultry,meat,40115,1.2477938482192459,1.5239111215728927
fruit vegetable snacks,snacks,frozen breads doughs,frozen,2754,0.08566432152550925,1.5233832111879886
dog food care,pets,pickled goods olives,pantry,1260,0.03919282684173626,1.5232900496340922
energy sports drinks,beverages,water seltzer sparkling water,beverages,22583,0.7024536575928015,1.523201934570309
spices seasonings,pantry,hot cereal pancake mixes,breakfast,11521,0.35836552225685986,1.5228921917659004
frozen meat seafood,frozen,chips pretzels,snacks,17412,0.541607540451041,1.5227471444593659
fresh dips tapenades,deli,bulk grains rice dried goods,bulk,2509,0.07804349408406053,1.5226515787219597
butter,dairy eggs,frozen appetizers sides,frozen,18903,0.5879857188804288,1.5219177536129112
prepared meals,deli,cookies cakes,snacks,7880,0.2451106948514934,1.5217504644852273
kitchen supplies,household,fresh herbs,produce,1247,0.03878845640606755,1.521541869068145
baby food formula,babies,tortillas flat bread,bakery,12695,0.394883283139557,1.5214479788272264
honeys syrups nectars,pantry,protein meal replacements,personal care,1000,0.031105418128362105,1.5212647282367884
pasta sauce,dry goods pasta,dish detergents,household,8299,0.25814386504727715,1.5212172103678583
butter,dairy eggs,milk,dairy eggs,89331,2.7786781068247155,1.5211511210201847
food storage,household,tortillas flat bread,bakery,4788,0.14893274199859777,1.5208631196863223
fresh herbs,produce,frozen produce,frozen,56209,1.7484044475771054,1.5202278848650277
paper goods,household,cookies cakes,snacks,18100,0.5630080681233541,1.5199673676082541
instant foods,dry goods pasta,plates bowls cups flatware,household,2801,0.08712627617754226,1.5197543334324906
poultry counter,meat,frozen breads doughs,frozen,2301,0.07157356711336121,1.519536229254899
butter,dairy eggs,lunch meat,deli,37936,1.1800151421175449,1.5194775948045738
granola,breakfast,cookies cakes,snacks,8090,0.25164283265844944,1.5194370858434736
kosher foods,international,crackers,snacks,1847,0.05745170728308481,1.519119533559076
chips pretzels,snacks,pickled goods olives,pantry,26036,0.8098606663900357,1.5189742086480258
preserved dips spreads,pantry,canned fruit applesauce,canned goods,3754,0.11676973965387134,1.5189365985035215
butter,dairy eggs,hot cereal pancake mixes,breakfast,16489,0.5128972395185628,1.5189104392246235
spreads,pantry,tortillas flat bread,bakery,21362,0.6644739420580714,1.5188684016331264
oral hygiene,personal care,salad dressing toppings,pantry,2286,0.07110698584143578,1.518791526680622
packaged poultry,meat,other creams cheeses,dairy eggs,15068,0.4686964403581602,1.5183764966007947
prepared soups salads,deli,refrigerated,beverages,12802,0.39821156287929166,1.5182242116678308
cream,dairy eggs,frozen dessert,frozen,2615,0.08134066840566691,1.5181874321221647
pasta sauce,dry goods pasta,bulk grains rice dried goods,bulk,1583,0.049239876897197214,1.5181186213393565
frozen meals,frozen,soft drinks,beverages,31194,0.9703024130961276,1.5168736338474886
cookies cakes,snacks,deodorants,personal care,1245,0.03872624556981082,1.5167453751571616
instant foods,dry goods pasta,soft drinks,beverages,21721,0.6756407871661534,1.5166565284232207
soap,personal care,hot cereal pancake mixes,breakfast,3757,0.11686305590825645,1.516333305289814
oils vinegars,pantry,nuts seeds dried fruit,snacks,26618,0.8279640197407425,1.5163303637544827
yogurt,dairy eggs,hot cereal pancake mixes,breakfast,58036,1.805234046497623,1.5159637187286013
energy granola bars,snacks,lunch meat,deli,43827,1.363257160311726,1.5159410361650192
hair care,personal care,frozen appetizers sides,frozen,1990,0.061899782075440585,1.515875252312129
frozen breakfast,frozen,soup broth bouillon,canned goods,24978,0.7769511340102287,1.515862179592083
prepared meals,deli,granola,breakfast,3730,0.11602320961879066,1.5154203271186575
frozen breads doughs,frozen,eggs,dairy eggs,8133,0.25298036563796905,1.5153968512368823
pasta sauce,dry goods pasta,frozen dessert,frozen,1763,0.05483885216030239,1.5153522534730564
specialty cheeses,dairy eggs,latino foods,international,2471,0.07686148819518276,1.5150879869413942
energy granola bars,snacks,yogurt,dairy eggs,111038,3.4538834181370714,1.5150606577274894
energy granola bars,snacks,coffee,beverages,23510,0.7312883801977931,1.5150174278416224
honeys syrups nectars,pantry,hot dogs bacon sausage,meat,8238,0.256246434541447,1.5150107368505694
specialty cheeses,dairy eggs,doughs gelatins bake mixes,pantry,3253,0.10118592517156194,1.5147661090674425
oral hygiene,personal care,condiments,pantry,5036,0.15664688569443158,1.5147577161844856
canned meals beans,canned goods,spreads,pantry,26384,0.8206853518987058,1.514748284912379
prepared soups salads,deli,frozen breakfast,frozen,5883,0.18299317484915428,1.514678654629355
tea,beverages,feminine care,personal care,1427,0.04438743166917273,1.5144778777094328
pasta sauce,dry goods pasta,eggs,dairy eggs,41342,1.2859601962627463,1.514386509753985
pasta sauce,dry goods pasta,fresh herbs,produce,28192,0.8769239478747846,1.5141901915102056
fresh vegetables,produce,dry pasta,dry goods pasta,152694,4.749610715692124,1.5140072841665837
fresh herbs,produce,frozen breads doughs,frozen,5541,0.17235512184925444,1.5138158589595978
oils vinegars,pantry,hot cereal pancake mixes,breakfast,14888,0.46309746509505506,1.5135888948104048
fresh herbs,produce,canned meat seafood,canned goods,8664,0.2694973426641293,1.51356409586357
marinades meat preparation,pantry,hot cereal pancake mixes,breakfast,3994,0.12423504000467825,1.5135119748329737
packaged cheese,dairy eggs,fresh dips tapenades,deli,109387,3.4025283728071463,1.5133740903565867
crackers,snacks,canned meat seafood,canned goods,10629,0.3306194892863608,1.5131933669933217
baby bath body care,babies,hot dogs bacon sausage,meat,1012,0.03147868314590245,1.513084216998117
diapers wipes,babies,tortillas flat bread,bakery,1879,0.0584470806631924,1.5130474929158324
dog food care,pets,breakfast bakery,bakery,2699,0.08395352352844933,1.5130030953908482
packaged poultry,meat,fresh vegetables,produce,77046,2.396548045117787,1.5128082714310875
crackers,snacks,food storage,household,9710,0.30203361002639606,1.5127520791885405
hair care,personal care,dry pasta,dry goods pasta,2713,0.0843889993822464,1.512666769796801
refrigerated pudding desserts,dairy eggs,tea,beverages,2733,0.08501110774481364,1.5126213719746764
packaged seafood,seafood,packaged poultry,meat,1110,0.034527014122481936,1.512576464067588
paper goods,household,protein meal replacements,personal care,3100,0.09642679619792253,1.512028809355737
fresh pasta,dry goods pasta,yogurt,dairy eggs,13595,0.4228781594550829,1.5115353919888184
baby food formula,babies,bread,bakery,36765,1.143590697489233,1.5110639191746587
hair care,personal care,pickled goods olives,pantry,1222,0.038010820952858494,1.5109256823481012
spreads,pantry,cocoa drink mixes,beverages,2146,0.06675222730346508,1.5106774206331663
refrigerated,beverages,granola,breakfast,18199,0.566087504518062,1.510173514679924
baby food formula,babies,doughs gelatins bake mixes,pantry,6236,0.1939733874484661,1.5101600236704926
food storage,household,breakfast bakery,bakery,5808,0.18066026848952713,1.5099573124422525
deodorants,personal care,hot dogs bacon sausage,meat,1765,0.054901062996559113,1.5098014835721763
soup broth bouillon,canned goods,cocoa drink mixes,beverages,2296,0.0714180400227194,1.5097556527669187
baking ingredients,pantry,pickled goods olives,pantry,11865,0.3690657860930164,1.50940466569088
cocoa drink mixes,beverages,juice nectars,beverages,2468,0.07676817194079767,1.5089691201016215
marinades meat preparation,pantry,energy sports drinks,beverages,2127,0.0661612243590262,1.508795996532321
cookies cakes,snacks,baking supplies decor,pantry,1844,0.057358391028699725,1.5085798875901149
cleaning products,household,cereal,breakfast,12344,0.3839652813765018,1.5085503298189549
crackers,snacks,ice cream toppings,snacks,1753,0.05452779797901877,1.508371073275
fruit vegetable snacks,snacks,dry pasta,dry goods pasta,15805,0.49162113351876313,1.5080957353720679
soap,personal care,soy lactosefree,dairy eggs,14030,0.4364090163409204,1.5076264034346643
latino foods,international,breakfast bakery,bakery,7037,0.21888882736928414,1.5075373848452467
coffee,beverages,candy chocolate,snacks,18802,0.5848440716494643,1.507473702759716
frozen breads doughs,frozen,salad dressing toppings,pantry,1596,0.04964424733286592,1.5073040560278692
energy sports drinks,beverages,cereal,breakfast,10817,0.3364673078944929,1.5069651308278897
popcorn jerky,snacks,fresh dips tapenades,deli,21566,0.6708194473562572,1.5066235412045048
baking ingredients,pantry,latino foods,international,7856,0.24436416481641274,1.5064623099748518
pasta sauce,dry goods pasta,crackers,snacks,34407,1.070244121542555,1.5059862192356865
poultry counter,meat,packaged vegetables fruits,produce,68639,2.1350447949126465,1.5058900292442388
eggs,dairy eggs,breakfast bakery,bakery,45564,1.417287271600691,1.505878492338007
honeys syrups nectars,pantry,cookies cakes,snacks,5749,0.17882504881995376,1.5057553731662947
crackers,snacks,cocoa drink mixes,beverages,3152,0.09804427794059736,1.5057225195409232
crackers,snacks,frozen dessert,frozen,3240,0.10078155473589323,1.5057039906688905
yogurt,dairy eggs,cereal,breakfast,117937,3.668479697804642,1.5055110843918735
fresh dips tapenades,deli,salad dressing toppings,pantry,12809,0.39842930080619027,1.504970305987644
soup broth bouillon,canned goods,fresh vegetables,produce,178906,5.5649459356727515,1.5045987798027611
instant foods,dry goods pasta,meat counter,meat,5349,0.1663828815686089,1.5043048312709222
hot dogs bacon sausage,meat,hot cereal pancake mixes,breakfast,18373,0.571499847272397,1.5042144554635015
prepared meals,deli,chips pretzels,snacks,22079,0.686776526856107,1.5038024162322952
crackers,snacks,hot dogs bacon sausage,meat,46595,1.4493569576910323,1.5037943485699286
instant foods,dry goods pasta,trail mix snack mix,snacks,2647,0.0823360417857745,1.503709816941392
frozen meat seafood,frozen,preserved dips spreads,pantry,3263,0.10149697935284555,1.5034626452706614
fresh dips tapenades,deli,frozen pizza,frozen,20387,0.6341461593829183,1.5033490436932795
prepared meals,deli,dog food care,pets,1065,0.03312727030670564,1.5031312703030113
specialty cheeses,dairy eggs,canned meat seafood,canned goods,2210,0.06874297406368025,1.5026865471409179
packaged meat,meat,other creams cheeses,dairy eggs,4342,0.13505972551334827,1.5025205346177615
cookies cakes,snacks,more household,household,1447,0.04500954003173997,1.502267096944988
breakfast bakery,bakery,frozen dessert,frozen,1937,0.0602511949146374,1.502151532912685
canned meals beans,canned goods,baby food formula,babies,15516,0.4826316676796665,1.5015014917093408
poultry counter,meat,frozen appetizers sides,frozen,9647,0.30007396868430924,1.5013875675446775
prepared meals,deli,soap,personal care,2246,0.0698627691163013,1.5013521964532401
cat food care,pets,pickled goods olives,pantry,1659,0.05160388867495273,1.501300096556536
prepared soups salads,deli,granola,breakfast,2658,0.08267820138518649,1.500980306358025
preserved dips spreads,pantry,breakfast bakery,bakery,10531,0.32757115830978134,1.500952867034792
hot dogs bacon sausage,meat,body lotions soap,personal care,4482,0.13941448405131895,1.5006466917486314
popcorn jerky,snacks,frozen dessert,frozen,1280,0.039814935204303493,1.5003425822307217
prepared soups salads,deli,specialty cheeses,dairy eggs,2273,0.07070261540576707,1.5002950540870215
butter,dairy eggs,pickled goods olives,pantry,11480,0.357090200113597,1.5002507339289568
red wines,alcohol,soft drinks,beverages,3284,0.10215019313354115,1.5000047777847103
spreads,pantry,canned meat seafood,canned goods,7150,0.2224037396177891,1.5000003043546146
canned meat seafood,canned goods,hot cereal pancake mixes,breakfast,4153,0.12918080148708783,1.4998385209456946
ice cream ice,frozen,breakfast bars pastries,breakfast,9748,0.3032156159152738,1.4997765709148616
vitamins supplements,personal care,granola,breakfast,1684,0.05238152412816179,1.499670690039448
prepared meals,deli,doughs gelatins bake mixes,pantry,3661,0.11387693576793366,1.4996401035624385
marinades meat preparation,pantry,dish detergents,household,2397,0.07455968725368398,1.4995348366333312
tofu meat alternatives,deli,packaged vegetables fruits,produce,58328,1.8143168285911049,1.4994329899353285
crackers,snacks,salad dressing toppings,pantry,14936,0.46459052516521643,1.4993576211969564
candy chocolate,snacks,air fresheners candles,household,1714,0.053314686672012654,1.4988817681967563
eggs,dairy eggs,dry pasta,dry goods pasta,46633,1.4505389635799102,1.498849910108323
hair care,personal care,condiments,pantry,2271,0.07064040456951035,1.4983846471914513
indian foods,international,spreads,pantry,1542,0.047964554753934366,1.4981094329372229
bakery desserts,bakery,frozen pizza,frozen,2123,0.06603680268651275,1.4977381603910673
oral hygiene,personal care,frozen meals,frozen,6167,0.19182711359760912,1.4977041183319668
seafood counter,seafood,frozen produce,frozen,5411,0.16831141749256737,1.497632810705703
fresh vegetables,produce,pickled goods olives,pantry,68111,2.1186211341408714,1.497620146974057
prepared meals,deli,bread,bakery,21539,0.6699796010667914,1.4974221589279013
energy granola bars,snacks,indian foods,international,1714,0.053314686672012654,1.4973878473753413
prepared meals,deli,refrigerated,beverages,17549,0.5458689827346266,1.4973203364354533
prepared soups salads,deli,chips pretzels,snacks,15816,0.4919632931181751,1.4972825945107715
packaged cheese,dairy eggs,poultry counter,meat,42702,1.3282635649173187,1.4971899784559082
refrigerated,beverages,energy sports drinks,beverages,15525,0.4829116164428217,1.4971311188413887
energy granola bars,snacks,refrigerated,beverages,55634,1.7305188321532974,1.4970983689897406
spreads,pantry,salad dressing toppings,pantry,10120,0.31478683145902453,1.4970445432222126
cat food care,pets,frozen appetizers sides,frozen,2685,0.08351804767465226,1.4969383186661713
baking ingredients,pantry,cleaning products,household,10166,0.31621768069292916,1.496913446574335
granola,breakfast,lunch meat,deli,14034,0.4365334380134338,1.4968949081562422
packaged cheese,dairy eggs,refrigerated pudding desserts,dairy eggs,10971,0.34125754228626065,1.4967398756357986
cream,dairy eggs,breakfast bakery,bakery,30337,0.9436450697601212,1.4966793516779722
honeys syrups nectars,pantry,soy lactosefree,dairy eggs,16432,0.5111242306852462,1.4966003658583966
marinades meat preparation,pantry,chips pretzels,snacks,14625,0.4549167401272958,1.4965702434056525
prepared soups salads,deli,fruit vegetable snacks,snacks,4357,0.13552630678527372,1.4959992613565563
fresh pasta,dry goods pasta,juice nectars,beverages,4574,0.14227618251912827,1.4959202414647463
crackers,snacks,pickled goods olives,pantry,17564,0.546335564006552,1.4958759665196084
packaged meat,meat,canned meals beans,canned goods,3479,0.10821574966857178,1.4958627607132573
candy chocolate,snacks,deodorants,personal care,1446,0.04497843461361161,1.4953060672476908
chips pretzels,snacks,other creams cheeses,dairy eggs,69617,2.165465893842185,1.4953026667939047
frozen appetizers sides,frozen,hot cereal pancake mixes,breakfast,11234,0.34943826725401994,1.4952906421470904
